iter	Passed	Remaining
0	13	3952
1	21	3144
2	27	2738
3	34	2569
4	41	2439
5	48	2355
6	55	2329
7	61	2251
8	68	2215
9	75	2184
10	84	2212
11	90	2170
12	97	2143
13	103	2116
14	110	2102
15	118	2095
16	125	2085
17	136	2145
18	144	2137
19	153	2142
20	159	2125
21	167	2114
22	175	2110
23	183	2110
24	191	2102
25	198	2095
26	207	2095
27	213	2078
28	220	2058
29	227	2043
30	234	2033
31	240	2015
32	247	2001
33	253	1984
34	260	1969
35	266	1956
36	272	1940
37	279	1928
38	285	1913
39	292	1899
40	299	1888
41	305	1875
42	313	1873
43	320	1863
44	326	1851
45	335	1852
46	341	1839
47	348	1829
48	354	1815
49	360	1803
50	366	1789
51	373	1782
52	379	1770
53	386	1760
54	394	1755
55	400	1746
56	407	1736
57	413	1726
58	420	1717
59	426	1707
60	432	1694
61	440	1692
62	447	1684
63	454	1676
64	460	1664
65	466	1654
66	472	1642
67	478	1631
68	484	1622
69	491	1613
70	497	1604
71	504	1598
72	510	1588
73	517	1579
74	523	1571
75	535	1577
76	542	1572
77	550	1566
78	557	1560
79	565	1553
80	571	1544
81	578	1539
82	585	1531
83	592	1523
84	598	1513
85	604	1504
86	610	1495
87	617	1487
88	624	1479
89	630	1471
90	637	1463
91	643	1454
92	649	1445
93	655	1436
94	661	1428
95	667	1419
96	674	1411
97	680	1402
98	686	1394
99	692	1385
100	698	1377
101	705	1369
102	712	1362
103	719	1356
104	726	1350
105	735	1346
106	743	1340
107	749	1332
108	756	1324
109	762	1316
110	768	1308
111	775	1302
112	782	1294
113	787	1285
114	794	1278
115	801	1270
116	807	1262
117	813	1255
118	819	1247
119	827	1241
120	833	1233
121	839	1225
122	845	1216
123	851	1208
124	858	1201
125	864	1193
126	870	1186
127	876	1178
128	882	1170
129	889	1162
130	895	1155
131	902	1148
132	908	1140
133	914	1133
134	920	1125
135	926	1117
136	933	1110
137	939	1103
138	945	1095
139	951	1087
140	957	1080
141	964	1073
142	970	1065
143	978	1060
144	985	1053
145	991	1045
146	998	1039
147	1007	1034
148	1014	1028
149	1023	1023
150	1029	1015
151	1036	1009
152	1043	1003
153	1050	996
154	1057	989
155	1063	981
156	1070	974
157	1076	967
158	1083	960
159	1089	953
160	1096	946
161	1107	943
162	1116	938
163	1124	932
164	1132	926
165	1141	921
166	1148	914
167	1154	907
168	1161	900
169	1168	893
170	1174	886
171	1181	878
172	1187	871
173	1194	864
174	1201	858
175	1207	850
176	1214	843
177	1220	836
178	1226	828
179	1232	821
180	1238	814
181	1245	807
182	1251	800
183	1257	792
184	1264	785
185	1270	778
186	1277	771
187	1284	765
188	1291	758
189	1298	751
190	1304	744
191	1310	737
192	1317	730
193	1323	723
194	1329	716
195	1337	709
196	1343	702
197	1350	695
198	1356	688
199	1362	681
200	1370	674
201	1376	668
202	1383	660
203	1389	653
204	1395	646
205	1401	639
206	1407	632
207	1414	625
208	1420	618
209	1427	611
210	1432	604
211	1439	597
212	1448	591
213	1457	585
214	1463	578
215	1470	571
216	1477	564
217	1487	559
218	1496	553
219	1505	547
220	1511	540
221	1518	533
222	1525	526
223	1531	519
224	1537	512
225	1544	505
226	1553	499
227	1559	492
228	1566	485
229	1574	479
230	1582	472
231	1589	465
232	1595	458
233	1601	451
234	1607	444
235	1615	438
236	1621	431
237	1627	423
238	1636	417
239	1642	410
240	1649	403
241	1655	396
242	1661	389
243	1668	382
244	1674	375
245	1682	369
246	1688	362
247	1695	355
248	1700	348
249	1707	341
250	1713	334
251	1719	327
252	1725	320
253	1732	313
254	1737	306
255	1745	300
256	1751	293
257	1757	286
258	1764	279
259	1770	272
260	1778	265
261	1784	258
262	1792	252
263	1799	245
264	1808	238
265	1815	232
266	1822	225
267	1829	218
268	1835	211
269	1845	205
270	1850	198
271	1859	191
272	1864	184
273	1870	177
274	1878	170
275	1884	163
276	1894	157
277	1901	150
278	1910	143
279	1916	136
280	1926	130
281	1931	123
282	1940	116
283	1946	109
284	1952	102
285	1958	95
286	1963	88
287	1970	82
288	1976	75
289	1981	68
290	1990	61
291	1996	54
292	2002	47
293	2008	40
294	2014	34
295	2022	27
296	2028	20
297	2035	13
298	2040	6
299	2046	0
