iter	Passed	Remaining
0	152	152556
1	159	79650
2	165	55075
3	171	42822
4	178	35491
5	183	30468
6	189	26911
7	195	24180
8	200	22078
9	206	20411
10	211	19031
11	217	17906
12	223	16932
13	228	16075
14	234	15386
15	239	14733
16	244	14154
17	251	13702
18	257	13308
19	263	12921
20	269	12582
21	275	12238
22	281	11938
23	286	11651
24	291	11387
25	299	11204
26	305	10993
27	310	10782
28	316	10600
29	321	10409
30	328	10274
31	340	10311
32	352	10325
33	372	10591
34	398	10976
35	418	11203
36	444	11558
37	461	11671
38	471	11622
39	493	11833
40	510	11945
41	524	11972
42	540	12036
43	550	11958
44	563	11968
45	581	12050
46	595	12070
47	606	12023
48	620	12035
49	637	12104
50	661	12308
51	672	12257
52	692	12365
53	705	12355
54	716	12311
55	724	12209
56	735	12160
57	744	12091
58	764	12193
59	779	12207
60	801	12331
61	822	12441
62	843	12546
63	855	12510
64	864	12441
65	877	12420
66	891	12417
67	904	12397
68	918	12386
69	971	12901
70	1013	13261
71	1031	13298
72	1046	13292
73	1103	13813
74	1117	13778
75	1174	14274
76	1184	14203
77	1191	14083
78	1199	13980
79	1205	13865
80	1214	13782
81	1222	13690
82	1230	13590
83	1237	13496
84	1251	13470
85	1261	13402
86	1268	13309
87	1275	13216
88	1280	13111
89	1286	13006
90	1293	12916
91	1298	12819
92	1306	12745
93	1312	12652
94	1319	12571
95	1325	12483
96	1332	12403
97	1344	12379
98	1352	12310
99	1359	12232
100	1368	12178
101	1375	12106
102	1382	12043
103	1392	11995
104	1399	11926
105	1408	11878
106	1414	11807
107	1423	11759
108	1430	11695
109	1439	11645
110	1444	11570
111	1451	11507
112	1457	11437
113	1462	11365
114	1469	11305
115	1474	11238
116	1479	11169
117	1486	11109
118	1491	11044
119	1497	10979
120	1503	10920
121	1508	10856
122	1514	10796
123	1520	10742
124	1526	10682
125	1532	10633
126	1539	10582
127	1544	10525
128	1551	10476
129	1557	10421
130	1562	10368
131	1569	10318
132	1575	10270
133	1581	10223
134	1587	10170
135	1592	10117
136	1598	10072
137	1604	10021
138	1609	9971
139	1615	9926
140	1621	9876
141	1627	9831
142	1633	9790
143	1640	9750
144	1649	9725
145	1654	9679
146	1661	9638
147	1666	9594
148	1672	9549
149	1678	9510
150	1683	9466
151	1689	9422
152	1695	9387
153	1701	9344
154	1706	9304
155	1712	9266
156	1718	9225
157	1724	9189
158	1730	9151
159	1735	9111
160	1741	9077
161	1748	9046
162	1754	9009
163	1761	8977
164	1766	8939
165	1772	8903
166	1778	8868
167	1783	8832
168	1791	8808
169	1796	8772
170	1802	8736
171	1808	8706
172	1813	8671
173	1819	8636
174	1825	8605
175	1831	8575
176	1837	8544
177	1843	8514
178	1849	8481
179	1855	8451
180	1861	8422
181	1866	8390
182	1873	8363
183	1878	8332
184	1884	8302
185	1890	8271
186	1895	8240
187	1901	8211
188	1906	8181
189	1912	8151
190	1918	8124
191	1924	8098
192	1929	8069
193	1936	8044
194	1942	8019
195	1947	7990
196	1953	7964
197	1959	7936
198	1964	7908
199	1970	7882
200	1975	7854
201	1981	7828
202	1987	7801
203	1992	7774
204	1998	7749
205	2003	7723
206	2009	7698
207	2015	7675
208	2021	7650
209	2026	7624
210	2033	7602
211	2038	7577
212	2044	7552
213	2054	7545
214	2060	7522
215	2066	7501
216	2072	7477
217	2077	7452
218	2083	7430
219	2089	7406
220	2095	7384
221	2101	7363
222	2106	7340
223	2112	7319
224	2118	7296
225	2123	7272
226	2129	7252
227	2135	7229
